# ============================== 基础控制流 原有词条 ==============================
ruguo|if
# ============================== 修饰符 原有词条 ==============================
gonggong|public
siyou|private
baohu|protected
jingtai|static
zuizhong|final
chouxiang|abstract
tongbu|synchronized
yibian|volatile
shunshi|transient
bendi|native
yanchi|strictfp

# ============================== 扩充：全语言修饰符合集 ==============================
neibu|internal
baohuneibu|protected internal
duanluo|sealed
chongxie|override
xianzhichongxie|new
mingxianzhuanhuan|explicit
yinxianzhuanhuan|implicit
dingzhi|readonly
xuliehua|serializable
buxuliehua|transient
xianshi|extern
dingyi|define
weidingyi|undef
hanshuineilian|inline
youyuan|friend
xuni|virtual
chunxuni|pure virtual
fangfan|constexpr
yichang|noexcept
yizhi|deprecated
yinshen|hidden
chakan|visible
zhuanhuan|cast
anquanzhuanhuan|safe cast
buquanzhuanhuan|unsafe cast
dongtaizhuanhuan|dynamic cast
jingtazhuanhuan|static cast
jiankangzhuanhuan|reinterpret cast
jianzhuanhuan|const cast
bianma|mutable
yuansheng|raw
weicheng|weak
qiang|strong
yinyong|ref
shuchu|out
kebiancanshu|params
suoyou|all
danyige|single
duoxiang|multiple
jichengfangshi|inheritance mode
danjicheng|single inherit
duojicheng|multiple inherit
xunhuanjicheng|hierarchical inherit
hebingjicheng|hybrid inherit

# ============================== 类和对象 原有词条 ==============================
lei|class
jiekou|interface
jicheng|extends
shixian|implements
xin|new
this|this
super|super
gouzaoqi|constructor
xigouqi|destructor
shili|instance
baohan|package
daoru|import

# ============================== 扩充：OOP完整体系词库 ==============================
fangfa|method
shuxing|property
ziduan|field
canshu|parameter
canshuzhi|argument
fanhuizhi|return value
leishuxing|class static
shilishuxing|instance static
fangfaziduan|member
suanzifangfa|operator method
zhongzaizifu|operator overload
zhongzaizai|overload
chongxiefangfa|override method
fangfazhi|function pointer
hanshuyinyong|function reference
daililei|proxy class
danlilei|singleton
gongchanglei|factory class
guanchazhelei|observer
celuelei|strategy
zhuangshilei|decorator
guanlian|association
hebing|composition
yongyou|aggregation
fenli|dependency
shilihua|instantiate
caozuoxiang|instanceof
shilipanduan|is instance
zhuanhuaxiang|as
leimingcheng|class name
duixiangmingcheng|object name
jiekoushuxing|interface property
jiekoufangfa|interface method
kongjiekou|marker interface
leizhuanhuan|class cast
dongtailei|dynamic class
leishuziyuan|class literal
baohanmingcheng|package name
daorumingcheng|import name
quanmingcheng|fully qualified name
jianmingcheng|short name
yincan|alias
zhongmingming|namespace
jiekouzu|interface set
leizu|class group
fangfazu|method group
ziduanzu|field group
gouzaocanshu|constructor param
wucanshugouzao|no-arg constructor
youcanshugouzao|arg constructor
fuzhigouzao|copy constructor
yidonggouzao|move constructor
xigoucanshu|destructor arg
ziyoucunxu|free memory
fenpeicunxu|allocate memory
chongfenpei|reallocate
neicunchongxie|memcpy
neicunqingkong|memset
neicunbijiao|memcmp
yidongduixiang|move object
fuzhiduixiang|copy object
yinyongjishu|reference count
zidongshouji|garbage collect
shoujiqi|GC
shoujiduixiang|gc object
fangqi|dispose
ziyoufangqi|finalize
fangqikuai|dispose block
yinyongleixing|reference type
zhileixing|value type
chucunfangshi|storage mode
duixiangcunchu|heap
zhileicunchu|stack
quanju|global
jubu|local
kuaiju|block scope
fangfaju|function scope
leiju|class scope
baohanju|package scope
mingmingkongjianju|namespace scope
yinyongji|reference
ruoyinyong|rvalue reference
zuoyinyong|lvalue reference
zhizhen|pointer
kongzhizhen|nullptr
zhizhenyinyong|pointer ref
zhizhenzhizhen|double pointer
sanchongzhizhen|triple pointer
zhizhenshuzu|pointer array
shuzuzhizhen|array pointer
jiegouzhizhen|struct pointer
leizhizhen|class pointer
hanshuzhizhen|function pointer
zhizhensuoyin|pointer index
zhizhensuanfu|pointer arithmetic
zhizhenzhuanhuan|pointer cast

# ============================== 异常处理 原有词条 ==============================
shiyan|try
buhuo|catch
zuizhongkuai|finally
paochu|throw
shengming|throws
yichang|Exception
cuowu|Error

# ============================== 扩充：完整异常体系 ==============================
yichanglei|Exception class
cuowulei|Error class
yunxingyichang|RuntimeException
jianyanyichang|CheckedException
weijianyanyichang|UncheckedException
kongyichang|NullPointerException
shuzuzhiyue|ArrayIndexOutOfBoundsException
zhuanhuayichang|ClassCastException
shujuleixingyichang|NumberFormatException
wenjianyichang|IOException
wenjianbucunzai|FileNotFoundException
quanxianyichang|SecurityException
xianchengyichang|InterruptedException
shujukuyichang|SQLException
wangluoyichang|SocketException
neicunyichang|OutOfMemoryError
duanluyichang|StackOverflowError
zhuyiyichang|AssertionError
zidongbuhuo|auto catch
yichangguolv|exception filter
yichangzhuangtai|exception status
huiguan|rethrow
yichangxinxi|exception message
yichangduixiang|exception instance
yichangduilie|exception stack
duiliedayin|print stack trace
yichangma|error code
yichangbianhao|error number
yichangmiaoshu|error description
yichangchuli|exception handler
duochongbuhuo|multi catch
ziyouziyuan|resource auto close
ziyuanchuli|resource handle
yichangguanbi|finally close resource

# ============================== 数组与集合 原有词条 ==============================
shuzu|Array
liebiao|List
jihe|Set
ditu|Map
xiangliang|Vector
zhan|Stack
duilie|Queue
shuangduan|Deque
hasbiao|HashMap
shumu|TreeMap
lianbiao|LinkedList
sanzu|HashSet
shusan|TreeSet

# ============================== 扩充：全量集合、并发集合、工具集合 ==============================
youxianshu|PriorityQueue
youshuxianzhan|PriorityStack
huanchongduilie|BlockingQueue
huanchongshuangduan|BlockingDeque
duoxianchengmap|ConcurrentHashMap
duoxianchengjihe|ConcurrentSet
yuanshuzu|primitive array
erweishuzu|2D Array
sanweishuzu|3D Array
duoweishuzu|multi dimension array
dongshuzu|dynamic array
dingshuzu|fixed array
shuzudaxiao|array size
shuzuchangdu|array length
shuzusuoyin|array index
shuzufuzhi|array copy
shuzufenge|array split
shuzulianjie|array concat
shuzupaixu|array sort
shuzuchazhao|array search
shuzuchongfu|array distinct
shuzuguolv|array filter
shuzubianhuan|array map
shuzuguiyue|array reduce
shuzubianli|array foreach
shuzutianjia|array add
shuzushanchu|array remove
shuzucha|array contains
shuzujiaohuan|array swap
shuzufanzhuan|array reverse
shuzutianchong|array fill
shuzuyunsuan|array math
lianbiao_tou|linked list head
lianbiao_wei|linked list tail
lianbiaojiedian|list node
jiedianqianqu|prev node
jiedianhouqu|next node
sousuojiedian|search node
tianjiajiedian|add node
shanchujiedian|remove node
ditu_jian|map key
ditu_zhi|map value
ditu_yuanzu|map entry
ditujihe|entry set
jianjihe|key set
zhijihe|value collection
kongditu|empty map
kongjihe|empty set
kongliebiao|empty list
yiyuanjihe|singleton set
yiyuanliebiao|singleton list
wuchongfujihe|distinct set
youxujihe|sorted set
youxuditu|sorted map
huicunmap|cache map
shujukujihe|database collection
fenyejihe|page collection
fenyedaxiao|page size
dangqianye|current page
zongyeshu|total page
zongtiaoshu|total record
pianyi|offset
tiaoshu|limit
kaishisuoyin|start index
jieshusuoyin|end index
jihegongju|Collections
shuzugongju|Arrays
jihemianban|collection view
bukegaijihe|unmodifiable collection
bukekongjihe|non-empty collection
kebianjihe|mutable collection
bukebianjihe|immutable collection
bingfajijihe|concurrent collection
yibujihe|async collection
liansuojihe|stream collection
liuyuan|stream source
liuzhongjian|stream intermediate
liuzhongjie|stream terminal

# ============================== 字符串操作 原有词条 ==============================
lianjie|concat
jiequ|substring
tihuan|replace
fenge|split
daxie|toUpperCase
xiaoxie|toLowerCase
qukongge|trim
changdu|length
charAt|charAt
indexOf|indexOf
lastIndexOf|lastIndexOf
kaishi|startsWith
jieshu|endsWith
baohan|contains

# ============================== 扩充：超全字符串、编码、正则辅助 ==============================
kongzifuchuan|empty string
baizikongge|space
quanbaizikongge|whitespace
quqianhoukongge|strip
quqiankongge|stripStart
quhoukongge|stripEnd
tihuanquanbu|replaceAll
tihuanshouci|replaceFirst
tihuanhouci|replaceLast
jiansuo|substr
suoyincha|charCodeAt
ziyima|charCode
mazi|codePointAt
daimadian|codePoint
zifuchuanshuzu|toCharArray
shuzuzifuchuan|valueOf
zifuchuanshuzhi|toString
bianmazifuchuan|encode
jiemazifuchuan|decode
utf8|UTF-8
utf16|UTF-16
gbk|GBK
gb2312|GB2312
iso8859|ISO-8859
ascii|ASCII
unicode|Unicode
bignama|toLowerCase(Locale)
daxiemama|toUpperCase(Locale)
bipipei|matches
zifuchuanbijiao|compareTo
bupianyi|compareToIgnoreCase
dengyuzifuchuan|equals
buxiaoxiedengyu|equalsIgnoreCase
kongpanduan|isEmpty
baizikonggepanduan|isBlank
tianjiakongge|padStart
tianjiahoukongge|padEnd
fengefu|delimiter
fenlieshuzi|split limit
lianjiefu|joiner
lianjielist|join list
zifuchuanhuancun|StringBuilder
zifuchuananquan|StringBuffer
huancuntianjia|append
huancucharu|insert
huancushanchu|delete
huancutiqu|subSequence
huancuqingkong|setLength
huancufanzhuan|reverse
zifujihe|CharSequence
zifujiheliulan|CharIterator
zifuchuanguize|StringTemplate
mubanzifu|template string
yinshenzifu|escape string
huanyuanzifu|unescape
huanyihuanhang|newline
huanyihuiche|carriage return
zhizhuanfu|tab
huanyizifu|escape char
yanshizifu|raw string
duoyingzifuchuan|multi line string
yanshima|regex string

# ============================== 数学函数 原有词条 ==============================
jueduizhi|abs
zuida|max
zuixiao|min
shangshe|ceil
xiashe|floor
sijiawuru|round
pingfanggen|sqrt
cimi|pow
suijishu|random
sin|sin
cos|cos
tan|tan
asin|asin
acos|acos
atan|atan
duishu|log
zhishu|exp
jiao|toRadians
du|toDegrees

# ============================== 扩充：完整数学、三角函数、常数、矩阵、统计 ==============================
log10|log10
log2|log2
ln|Math.log
atan2|atan2
sinh|sinh
cosh|cosh
tanh|tanh
asinh|asinh
acosh|acosh
atanh|atanh
fang|square
lifang|cube
lifanggen|cbrt
daoshu|reciprocal
zhengshuquyu|mod
zhengchu|floorDiv
yushu|remainder
zhengshuquzheng|signum
zhengfu|sign
shuzifanzhuan|negate
jia|add
jian|subtract
cheng|multiply
chu|divide
jiajian|plus minus
chengchu|mul div
pingfanghe|hypot
juli|distance
shijianjuli|delta time
pai|Math.PI
ziranchangshu|Math.E
zhengwuxian|Infinity
fuwuxian|-Infinity
wushuzi|NaN
zhengshuji|Integer.MAX_VALUE
xiaozhengshuji|Integer.MIN_VALUE
changshuji|Long.MAX_VALUE
xiaochangshuji|Long.MIN_VALUE
danfuzuidazhi|Float.MAX_VALUE
danfuxiaozhi|Float.MIN_VALUE
shuangfuzuidazhi|Double.MAX_VALUE
shuangfuxiaozhi|Double.MIN_VALUE
suijishufanwei|random range
suijishuzhengshu|random int
suijishufudian|random double
suijishufuhao|random boolean
suijishuzhongzi|random seed
zhongzi|seed
shuxuegongju|Math
daishugongju|Algebra
jifen|Integral
weifen|Derivative
daoshu|differentiate
juzhen|Matrix
juzhenjia|matrix add
juzhenjian|matrix sub
juzhencheng|matrix mul
juzhenni|matrix inverse
juzhenzhuanzhi|matrix transpose
juzhenhang|matrix row
juzhenlie|matrix column
juzhensuoyin|matrix index
hangliejuzhen|2D matrix
sanweijuzhen|3D matrix
xinglieshi|determinant
xianxingfangcheng|linear equation
guangdu|vector magnitude
xiangliangjiacheng|vector dot
xiangliangwaji|vector cross
tongji|Statistic
pingjunzhi|average
zhongweishu|median
zhongshu|mode
fangcha|variance
biaozhuncha|standard deviation
gailv|Probability
zhunfenbu|normal distribution
junyunfenbu|uniform distribution
erxiangfenbu|binomial distribution
poissonfenbu|poisson distribution
paixusuanfa|sort algorithm
kuaisupaixu|quick sort
maopaixu|bubble sort
xierpaixu|shell sort
xierpaixu|insert sort
xuanzepaixu|select sort
guibingpaixu|merge sort
duipaixu|heap sort
erfenchazhao|binary search
shunxuchazhao|linear search
hashchazhao|hash search
tuxingsuanfa|graph algorithm
tu|Graph
dingdian|Node
bian|Edge
youxiangtu|direct graph
wuxiangtu|undirect graph
zui duanlu|shortest path
zui xiaoshu|minimum spanning tree
sousuoyinsu|prime factor
sushu|prime number
heshu|composite number
gcd|gcd
lcm|lcm
zhishujiemian|prime sieve
huansuanjinzhi|unit convert
huansuandunwei|unit format

# ============================== 文件操作 原有词条 ==============================
wenjian|File
dakai|open
guanbi|close
duqu|read
xieru|write
tianjia|append
cunzai|exists
shanchu|delete
mingming|rename
wenjianliu|FileStream
shuruliu|InputStream
shuchuliu|OutputStream
duzhe|Reader
xiezhe|Writer
huanchong|BufferedReader
dayinhuan|PrintWriter

# ============================== 扩充：完整IO、文件路径、权限、压缩、临时文件 ==============================
wenjianjia|Folder
mulu|Directory
shangjimulu|parent dir
zimulu|sub dir
genmulu|root dir
xiangduilu|relative path
jueduilu|absolute path
lujingfenfu|path separator
wenjianhouzhui|file suffix
wenjianqianzhui|file prefix
wenjianleixing|file type
wenjiandaxiao|file size
wenjianxiugai|last modified
wenjianchuangjian|created time
wenjianyuedu|last access
yiduquanxian|read permission
xiequanxian|write permission
zhixingquanxian|execute permission
suoyouquanxian|all permission
suoyouwenjian|hidden file
suoyoumulu|hidden dir
linshiwenjian|temp file
linshimulu|temp dir
wenjianfuzhi|file copy
wenjianyidong|file move
mulufuzhi|dir copy
muluqingkong|dir clear
muluchuangjian|mkdir
duocengmulu|mkdirs
mulushanchu|rmdir
wenjianliulan|file list
wenjianguolü|file filter
wenjianpipei|file match
lujinggongju|Path
lujingjiehe|path combine
lujingfenjie|path split
lujingquqianhou|path trim
liuliangdu|stream length
liuweizhi|stream position
liudongzhi|seek
liudongqianjin|skip
liuhuanchong|buffer stream
huanchongdaxiao|buffer size
zidonghuanchong|auto flush
shuanliuliu|lock stream
jiechuanliuliu|unlock stream
yasuoliuliu|compress stream
jieyaliuliu|decompress stream
ziduanliuliu|data stream
duixiangliuliu|object stream
xuliehualiuliu|serial stream
yemianliuliu|page stream
suolu|FileLock
wenjianyinsuo|file lock
suojian|lock file
jieyinsuo|unlock file
wenjianzhuyi|file watch
jianshiwenjian|watch file
jianshimulu|watch dir
bianma|charset
bianmagongju|Charset
zhuanhuanbianma|convert charset
wenjianma|file encoding
wenjianjiema|file decode
huanyuanwenjian|restore file
beifenwenjian|backup file
huifubeifen|restore backup
yasuo|zip
jieya|unzip
yasuo_gz|gz
yasuo_7z|7z
yasuo_tar|tar
yasuo_rar|rar
yasuo_xz|xz
yasuo_bz2|bz2
yasuo_lzma|lzma
yasuo_snappy|snappy
yasuo_zstd|zstd
yasuo_shanzi|archive entry
yasuo_mulutianjia|archive add
yasuo_shanchu|archive remove
yasuo_daxiao|archive size

# ============================== 网络 原有词条 ==============================
wangluo|Network
taojiezi|Socket
fuwuqiduan|ServerSocket
URL|URL
lianjie|connect
jianting|listen
jieshou|accept
fasong|send
jieshou|receive
HTTP|HttpURLConnection
qingqiu|request
xiangying|response

# ============================== 扩充：TCP/UDP/HTTP/WebSocket/SSL/IP/DNS全网络词库 ==============================
tcp|TCP
udp|UDP
ip|IP
ipv4|IPv4
ipv6|IPv6
duankou|Port
benji|localhost
bendiip|local ip
wailaiip|remote ip
wangguan|Gateway
ziwangyanma|Subnet Mask
dns|DNS
dnschaxun|dns resolve
duanyou|ping
luyou|route
huancunluyou|route cache
firewall|Firewall
fanghuoqiang|firewall rule
duankouguolv|port filter
soketmoshi|socket mode
lianshuxing|stream socket
baozixing|datagram socket
duoguanlianshu|multi channel
sokethuanchong|socket buffer
fasonghuanchong|send buffer
jieshouhuanchong|recv buffer
soketduanlian|disconnect
soketguanbi|socket close
soketchongli|socket reset
soketchaoshi|socket timeout
chaoshishijian|timeout ms
fasongduan|send timeout
jieshouduan|recv timeout
HTTP1|HTTP/1.1
HTTP2|HTTP/2
HTTP3|HTTP/3
HTTPS|HTTPS
SSL|SSL
TLS|TLS
zhengshu|Certificate
mizhu|Key
simi|CA
zhidaozhengshu|root cert
kehuzhengshu|client cert
fuwuzhengshu|server cert
jiamiwangluo|encrypt transport
huanyuanwangluo|decrypt transport
qingqiufangshi|request method
get|GET
post|POST
put|PUT
delete|DELETE
patch|PATCH
head|HEAD
options|OPTIONS
trace|TRACE
connect|CONNECT
qingqiubianhao|request code
200|200 OK
404|404 Not Found
500|500 Server Error
302|302 Redirect
401|401 Unauthorized
403|403 Forbidden
qingqiutou|request header
xiangyingtou|response header
qingqiuneirong|request body
xiangyingneirong|response body
canshu|query param
fangwencanshu|form param
toubiaocanshu|header param
cookie|Cookie
session|Session
token|Token
jwt|JWT
xiangyingyanma|response charset
xiangyinggeshi|response mime
jsonmime|application/json
xmlmime|application/xml
wenbenmime|text/plain
duoxiangmime|multipart/form-data
wenjianshangchuan|file upload
wenjianxiazai|file download
duanxie|stream upload
duanxia|stream download
websocket|WebSocket
websocketlianji|ws connect
websocketguanbi|ws close
websocketfasong|ws send
websocketjieshou|ws recv
websocketxinxi|ws message
websocketcuowu|ws error
websocketxinhao|ws heartbeat
xinhaojiankong|signal
xinhaoyanshi|signal event
duoxianchengfuwu|multi thread server
yibufuwu|async server
lianchijiankong|connection pool
lianjiemaxshu|max connection
lianjieminshu|min connection
lianjiedaixu|idle connection
lianjiedaixushijian|idle timeout
lianjiemianchi|pool size
wangluoyichang|network exception
lianjieshixiao|connect fail
fasongshibai|send fail
jieshoushibai|recv fail
duankouzhan|port occupied
ipweifa|invalid ip
duankouweifa|invalid port
urlweifa|invalid url
touweifa|invalid header
mimawuxiao|auth fail
zhengshuweifa|cert invalid
mizhuyichang|key error
liuliangyichang|stream exception
huancunyichang|buffer overflow

# ============================== 线程 原有词条 ==============================
xiancheng|Thread
yunxing|run
kaishi|start
dengdai|wait
tongzhi|notify
shuimian|sleep
jiaru|join
zhongduan|interrupt
tongbu|synchronized

# ============================== 扩充：并发、锁、线程池、协程、原子操作完整词库 ==============================
xianchengmingcheng|thread name
xianchengzhuangtai|thread state
xinjianzhuangtai|new state
jiuzhuangtai|runnable
yunxingzhuangtai|running
shuimianzhuangtai|waiting
chaoshishuimian|timed waiting
suozuzhuangtai|blocked
jieshuzhuangtai|terminated
xianchengyouxianji|thread priority
zuigaoyouxian|max priority
zuidiyouxian|min priority
zhongyouxian|norm priority
xianchengzu|thread group
xianchengbianhao|thread id
dangqianxiancheng|current thread
xianchengzhongduanbiao|interrupt flag
zhongduanpanduan|is interrupted
xianchengfangqi|thread destroy
xianchengqingli|thread cleanup
renwu|Runnable
callrenwu|Callable
weilai|Future
weilaijieguo|Future result
weilaichuli|Future task
xianchengchi|ExecutorService
xianchengchigongju|Executors
dangxianchengchi|single thread pool
duoxianchengchi|fixed thread pool
huodongxianchengchi|cached thread pool
dingxianchengchi|scheduled thread pool
dingqixiancheng|ScheduledExecutor
dingqirenwu|scheduled task
dingqishijian|schedule delay
zhouqirenwu|schedule rate
xunhuadingqi|schedule fixed rate
suoding|Lock
duxiesuo|ReadWriteLock
dusuoyin|read lock
xiesuoyin|write lock
kezhongsuo|ReentrantLock
kezhongduxiesuo|ReentrantReadWriteLock
suozuzhi|lock block
jiesuo|unlock
suozuzhuangtai|lock state
suoyouduoshuo|hold count
xinhaoliang|Semaphore
xinhaoliangshuzi|semaphore permit
xinhaolianghuoqu|acquire
xinhaoliangguihuan|release
jishuqi|CountDownLatch
jishuqijianshu|latch count
jishuqidengdai|await
jishuqijianshu|count down
zhalei|CyclicBarrier
zhaleirenshu|barrier party
zhaleidengdai|barrier await
zhaleichongzhi|barrier reset
xianchengju|ThreadLocal
xianchengjuquzhi|thread local get
xianchengjushezhi|thread local set
xianchengjuqingkong|thread local remove
xianchengjuqingli|thread local clear
yuanzicaozuo|atomic
yuanzhengshu|AtomicInteger
yuanchangshu|AtomicLong
yuanbuer|AtomicBoolean
yuanzhizhen|AtomicReference
yuanshuzu|AtomicArray
yuancaisuan|atomic add
yuanjian|atomic compare set
yuanjiaohuan|atomic exchange
bingfa|Concurrent
bingfajiankong|concurrent tool
bingfajiankongguanli|concurrent manager
yibu|async
xiecheng|coroutine
xiechengqidong|coroutine launch
xiechengshuimian|coroutine delay
xiechengyidong|coroutine suspend
xiechenghuifu|coroutine resume
xiechengzu|coroutine scope
xiechengzhongzhi|coroutine cancel
xiechengzhuangtai|coroutine state
xiechengweilai|coroutine future
duoxianchengchongtu|thread conflict
jingtaixiancheng|daemon thread
houjingtuxiancheng|daemon flag
xianchengyichang|thread exception
suozuzhisi|dead lock
huojia|live lock
jingtai|race condition
bingfazidong|volatile visibility
zhongxuanyuan|memory barrier
cunxuzhizhang|store fence
duquzhizhang|load fence
quanyuzhizhang|full fence

# ============================== 数据库 原有词条 ==============================
shujuku|Database
lianjie|Connection
yuju|Statement
yubeian|PreparedStatement
jieguoji|ResultSet
chaxun|query
gengxin|update
charu|insert
shanchu|delete
shiwu|transaction
tijiao|commit
huigun|rollback

# ============================== 扩充：SQL全量、MySQL/SQLite/事务隔离、索引、分库分表 ==============================
shujukumingcheng|database name
biao|Table
biaomingcheng|table name
lie|Column
liemingcheng|column name
leixing|column type
zhujian|Primary Key
waijian|Foreign Key
weiyi|Unique
kongzhi|Not Null
morenzhi|Default
suoyin|Index
fusuoyin|Composite Index
houxusuoyin|Cover Index
fenquansuoyin|Partition Index
fenquanyu|Partition
fenquantiao|partition rule
fenquanshu|partition count
shiwugezi|transaction isolation
duquweiyixian|read uncommitted
duquyixian|read committed
kechongfu|repeatable read
kexueshu|serializable
shiwusuo|transaction lock
gongxiangsuo|shared lock
duxiesuo|exclusive lock
shiwudengdai|transaction wait
shiwuchaoshi|transaction timeout
shiwuchongshi|retry transaction
shiwuzhongduan|rollback savepoint
baocundian|savepoint
yujuji|Statement batch
piliangcharu|batch insert
pilianggengxin|batch update
piliangshanchu|batch delete
yubeiyuju|prepared sql
canshuyuju|parameter sql
fangwencanshu|sql param
fangwenanquan|sql safe
fangwenweixian|sql inject
fangweiguolv|sql filter
jieguojisuoyin|result set index
jieguojiyidong|result set move
jieguojiqian|previous
jieguojihou|next
jieguojishou|first
jieguojimo|last
jieguojisuoyidingwei|absolute
jieguojixiangdui|relative
jieguojiguanbi|result close
lianjieguanbi|connection close
lianjiehuancun|connection pool
lianjiemianchi|pool max
lianjiezuidi|pool min
lianjiedaijiu|idle pool
lianjiedaijiushijian|idle timeout
lianjieshixiao|connect timeout
lianjieceshi|test connect
lianjieziyou|auto close connection
SQLite|SQLite
MySQL|MySQL
PostgreSQL|PostgreSQL
Oracle|Oracle
SQLServer|SQL Server
Mongodb|MongoDB
Redis|Redis
Memcache|Memcached
cunchuku|cache store
huancunshi|cache expire
huancunxiaoshi|cache evict
huancunqingkong|cache clear
huancunjianli|cache hit
huancunweiji|cache miss
kuazhu|cross table
kuashujuku|cross database
lianbiao|join
neilian|inner join
zuolian|left join
youlian|right join
quanlian|full join
zilian|self join
lianbiao tiaojian|join on
guolv tiaojian|where
fenzu|group by
fenzuhouguolv|having
paixu|order by
shengxu|asc
jiangxu|desc
fenye|limit offset
tongjihanshu|aggregate function
zuidazhi|max()
zuixiaozhi|min()
pingjun|avg()
zongshu|sum()
jishu|count()
fenbushu|distinct count
ziyuan|exists
bucunzai|not exists
ziyuanlianzi|in
buzilianzi|not in
xiangsi|like
fanxiangsi|not like
fanwei|between
bufanwei|not between
xuansuozhi|select
chaxunlie|select column
chaxunbiao|select table
chaxunzhi|select value
gengxinbiao|update table
gengxinlie|update set
gengxintiaojian|update where
charubiao|insert into
charuzhi|insert values
charufenge|insert multiple
shanchubiao|delete from
shanchutiaojian|delete where
chuangjianbiao|create table
shanbiao|drop table
xiugaibiao|alter table
tianjialie|add column
shanchulie|drop column
xiugaileixing|modify column
xiugaimingcheng|rename column
chuangjiansuoyin|create index
shan suoyin|drop index
chuangjianzhujian|primary key
chuangjianwaijian|foreign key
chuangjianweiyi|unique key
chuangjianyueshu|constraint
shan yueshu|drop constraint
shujukuyonghu|database user
yonghumima|user password
yonghuquanxian|grant
shouhuiquanxian|revoke
quanxianbiao|privilege list
lianjiemima|connect auth
lianjiemimayichang|auth error
biaoweifa|invalid table
lieweifa|invalid column
yujuweifa|sql syntax error
shujukuman|database manager
shujukubeifen|database backup
huifushujuku|database restore
yasuoshujuku|dump database
huanyuanbiao|dump table
shujukudaxiao|database size
biaodaxiao|table size
jilushu|record count
suoyindaxiao|index size
fenquandaxiao|partition size
shujukulog|database log
rizhiyinzhi|bin log
huifuyinzhi|redo log
huanyuanyinzhi|undo log
rizhicunchu|log storage
rizhiliulan|log read
rizhichongzhi|log reset

# ============================== GUI 组件 (Android) 原有词条 ==============================
chuangkou|Window
anniu|Button
bianji|EditText
xianshi|TextView
tuxiang|ImageView
liebiao|ListView
huadong|ScrollView
buju|Layout
xianxing|LinearLayout
xiangdui|RelativeLayout
wangge|GridLayout
kuangjia|FrameLayout
yueshu|ConstraintLayout
tanchuang|AlertDialog
jinliu|ProgressBar
caidan|Menu
gongjulan|Toolbar
zhuangtai|StatusBar

# ============================== GUI 事件 原有词条 ==============================
dianji|click
changan|longClick
huadong|scroll
jiaodian|focus
shijiao|blur
jianpan|keyPress
chumo|touch
tuoye|drag
fangxia|drop

# ============================== 图形绘制 原有词条 ==============================
huabu|Canvas
huabi|Paint
yanshe|Color
ziti|Typeface
huayuan|drawCircle
huaxian|drawLine
huafang|drawRect
huawen|drawText
bizi|Bitmap

# ============================== 动画 原有词条 ==============================
donghua|Animation
touming|alpha
xuanzhuan|rotate
suofang|scale
pingyi|translate
chixu|duration
chongfu|repeat

# ============================== 传感器 原有词条 ==============================
chuanganqi|Sensor
jiasudu|accelerometer
tuoluoyi|gyroscope
fangxiang|orientation
guangxian|light
wenbiao|temperature
qiya|pressure
jiejin|proximity

# ============================== 多媒体 原有词条 ==============================
yinpin|Audio
shipin|Video
bofang|play
zanting|pause
tingzhi|stop
luyin|record
shexiang|Camera
zhaopian|takePicture
xiangce|Gallery

